index,study,study_type,gb,boot10,jack10,boot100,jack100,boot1000,jack1000,rep,rep100
4,M19354,phylogenetic,11,100,100,100,100,99,100,0.6111111111,61.11111111
4,M19354,phylogenetic,1,50,70,45,55,47,57,0.05555555556,5.555555556
4,M19354,phylogenetic,1,30,90,55,67,64,65,0.05555555556,5.555555556
4,M19354,phylogenetic,1,60,20,32,32,27,41,0.05555555556,5.555555556
4,M19354,phylogenetic,2,100,90,84,85,79,82,0.1111111111,11.11111111
4,M19354,phylogenetic,1,30,20,27,28,18,28,0.05555555556,5.555555556
4,M19354,phylogenetic,6,100,100,99,99,98,98,0.3333333333,33.33333333
4,M19354,phylogenetic,5,40,90,58,74,62,77,0.2777777778,27.77777778
4,M19354,phylogenetic,2,10,20,31,46,25,45,0.1111111111,11.11111111
4,M19354,phylogenetic,3,30,30,30,51,35,50,0.1666666667,16.66666667
4,M19354,phylogenetic,3,100,100,96,94,91,92,0.1666666667,16.66666667
4,M19354,phylogenetic,1,30,50,11,17,21,18,0.05555555556,5.555555556
4,M19354,phylogenetic,6,100,100,100,100,99,100,0.3333333333,33.33333333
4,M19354,phylogenetic,8,100,100,100,100,100,100,0.4444444444,44.44444444
4,M19354,phylogenetic,12,100,100,100,100,99,100,0.6666666667,66.66666667
4,M19354,phylogenetic,1,10,30,23,35,24,33,0.05555555556,5.555555556
4,M19354,phylogenetic,17,100,100,100,100,100,100,0.9444444444,94.44444444
4,M19354,phylogenetic,1,50,70,42,56,40,52,0.05555555556,5.555555556
4,M19354,phylogenetic,18,100,100,100,100,100,100,1,100
4,M19354,phylogenetic,3,90,80,83,89,87,86,0.1666666667,16.66666667
4,M19354,phylogenetic,11,80,100,97,100,99,100,0.6111111111,61.11111111
4,M19354,phylogenetic,7,100,100,100,100,99,100,0.3888888889,38.88888889
4,M19354,phylogenetic,2,30,80,69,81,64,75,0.1111111111,11.11111111
4,M19354,phylogenetic,1,50,70,54,71,56,66,0.05555555556,5.555555556
4,M19354,phylogenetic,4,100,80,99,96,95,97,0.2222222222,22.22222222
4,M19354,phylogenetic,3,50,60,59,74,61,75,0.1666666667,16.66666667
4,M19354,phylogenetic,6,100,90,95,98,96,99,0.3333333333,33.33333333
4,M19354,phylogenetic,10,100,100,98,100,99,99,0.5555555556,55.55555556
4,M19354,phylogenetic,2,60,80,63,78,64,75,0.1111111111,11.11111111
4,M19354,phylogenetic,0,100,100,100,100,100,100,0,0
5,M19355,phylogenetic,1,60,80,48,58,47,54,0.03448275862,3.448275862
5,M19355,phylogenetic,1,20,20,26,30,28,35,0.03448275862,3.448275862
5,M19355,phylogenetic,8,100,100,100,100,100,100,0.275862069,27.5862069
5,M19355,phylogenetic,1,20,70,27,30,24,31,0.03448275862,3.448275862
5,M19355,phylogenetic,5,90,100,91,97,94,97,0.1724137931,17.24137931
5,M19355,phylogenetic,3,60,100,80,84,79,84,0.1034482759,10.34482759
5,M19355,phylogenetic,3,80,70,87,89,85,92,0.1034482759,10.34482759
5,M19355,phylogenetic,3,60,50,58,67,57,67,0.1034482759,10.34482759
5,M19355,phylogenetic,2,60,100,88,93,87,90,0.06896551724,6.896551724
5,M19355,phylogenetic,4,100,100,96,99,96,97,0.1379310345,13.79310345
5,M19355,phylogenetic,3,30,60,44,64,50,66,0.1034482759,10.34482759
5,M19355,phylogenetic,1,30,10,20,21,17,22,0.03448275862,3.448275862
5,M19355,phylogenetic,6,90,90,92,95,90,96,0.2068965517,20.68965517
